Frequency (cm-1),Normalized YbOH Absorption
17345.1152,0.0018562374021873255
17345.1156,0.0035116289834581024
17345.1159,0.005304357317726065
17345.1161,0.004007566597761223
17345.1165,0.0007821088902169983
17345.1167,-0.0009872265741724885
17345.1169,0.0031398970317167737
17345.1172,0.0006978931414776165
17345.1175,0.0023666020320522677
17345.1177,0.006470858191831116
17345.118,0.0028288543140028285
17345.1183,0.000653771421058014
17345.1185,0.006127408098598393
17345.1188,0.0011658807022622106
17345.1191,0.000500004310381986
17345.1193,0.005308966366453253
17345.1196,0.0007393873272298277
17345.1199,0.0019839430404390633
17345.1201,0.004087413499645923
17345.1204,0.005492337486223803
17345.1207,0.0018846098231069554
17345.121,0.0029319479450645542
17345.1212,0.004845220631538371
17345.1215,0.006515520172661286
17345.1218,0.0011225037869415392
17345.122,0.006035605553250147
17345.1223,0.0026583351454983603
17345.1226,0.0008492589847182474
17345.1228,0.008646616541353383
17345.1231,0.010366425583555968
17345.1234,0.0048266503472314615
17345.1235,0.004486316733961417
17345.1239,0.005820357783646237
17345.1241,0.0010232655374069572
17345.1245,0.009035113602832694
17345.1247,0.005511090218588022
17345.125,0.006199858802387523
17345.1251,0.00572271056640161
17345.1255,0.0022265272543920177
17345.1258,-0.0005797383322985316
17345.126,0.003023659489423653
17345.1263,0.004682514468831581
17345.1266,0.0034882719416611642
17345.1269,0.006305995663532176
17345.1271,0.0018276036256931556
17345.1273,0.006716076183369232
17345.1276,0.006555849862000404
17345.1279,0.004474536054533088
17345.1282,0.004565590376394637
17345.1285,0.004336067260487403
17345.1287,0.0036959376456135893
17345.129,0.009477807318409675
17345.1292,0.004259706265472302
17345.1295,0.0027388694347173586
17345.1298,0.0037580120052904675
17345.1301,0.0055875020358051135
17345.1302,0.0021246929154770597
17345.1306,0.0005342072415900884
17345.1308,0.004229276212492734
17345.1311,0.0002829769171686138
17345.1313,0.006582684636657033
17345.1317,0.0016916366102530903
17345.1319,0.008119533065150175
17345.1322,0.006090706713002079
17345.1324,0.008228710122404791
17345.1327,-0.0008271298593879239
17345.133,0.007497031285056828
17345.1332,0.00866015169016581
17345.1335,0.00532767759922463
17345.1338,0.005048220227550429
17345.1341,0.007329815140027339
17345.1342,0.004465981590610237
17345.1345,0.004912471292299189
17345.1348,0.003569375239555385
17345.1351,0.005690485900282448
17345.1354,0.003167583598761045
17345.1356,0.007562502987714519
17345.1359,0.0012585184292618924
17345.1361,0.006024453941120608
17345.1365,0.005779651392217442
17345.1367,0.004305965885724067
17345.137,0.0027020770118456653
17345.1372,0.003004560402376442
17345.1375,0.00254926837520088
17345.1378,0.0038031293878532588
17345.1381,0.003544670374437635
17345.1383,0.004027073484335582
17345.1385,0.0027469824999754072
17345.1388,0.004307599702256989
17345.1391,0.0020492102793766426
17345.1393,0.00476652398300544
17345.1396,0.003652209832337803
17345.1398,0.0035266039153848093
17345.1401,0.005096350937965322
17345.1404,0.006268733256116215
17345.1407,0.004819820984795229
17345.1409,0.005017143461082944
17345.1413,0.0040225087345020566
17345.1416,0.004683080210268177
17345.1418,0.004764398704408975
17345.1421,0.0021308400006852953
17345.1423,0.0040556210372685395
17345.1425,0.005009959558157784
17345.1429,0.0011648239533633951
17345.1431,0.0060571995371135725
17345.1434,0.0032661194116471175
17345.1437,0.007466265700545712
17345.1439,0.005170974553063868
17345.1441,0.010172991704377007
17345.1444,0.004596612653058043
17345.1447,0.006469652300060836
17345.145,0.005746378045563669
17345.1453,0.001056513505432074
17345.1455,0.00500878859072548
17345.1458,0.004595048527507468
17345.146,0.008993102437057447
17345.1463,0.0024836404411641647
17345.1466,0.005024505354873843
17345.1469,0.0013339105554737581
17345.1471,0.005316907382374028
17345.1436,0.004931489917075352
17345.1439,0.00592371426438755
17345.1442,0.0031279979250842934
17345.1444,0.004165483472374653
17345.1447,0.003894697303979666
17345.145,0.003782070270243732
17345.1452,0.004083362745478832
17345.1455,0.002223837747550563
17345.1458,0.005364812307629898
17345.1461,0.004808411999256057
17345.1464,0.005965735925402362
17345.1466,0.004034334604365634
17345.1468,0.004338017032011899
17345.1472,0.003726126639465196
17345.1474,0.00304802084265681
17345.1476,0.0035779181116770468
17345.1479,0.0040452586206896545
17345.1482,0.004398468233437706
17345.1484,0.005025364164849667
17345.1487,0.004295665000409735
17345.1489,0.0041869428115389115
17345.1493,0.0026857641783200477
17345.1495,0.003629097604623177
17345.1498,0.0025474079397765645
17345.1501,0.004312430586494823
17345.1503,0.0015208436942723636
17345.1506,0.002889678873041231
17345.1509,0.0028048194298451803
17345.1511,0.004056468590231216
17345.1513,0.002760099344173231
17345.1517,0.0033952509737971604
17345.152,0.002944235513473405
17345.1522,0.004493750605561476
17345.1524,0.0026171474018107333
17345.1527,0.0018336888666834951
17345.153,0.0021906077073626275
17345.1533,0.004813551832608645
17345.1536,0.001830797541178876
17345.1537,0.00393639550604817
17345.154,0.0021839957873915246
17345.1544,0.0032889595515912585
17345.1546,0.0028823207138943827
17345.1548,0.004353837029631878
17345.1551,0.0027402383637073944
17345.1555,0.002800347593789726
17345.1556,0.004223494615655875
17345.1559,0.003942052429897935
17345.1562,0.005108166218541867
17345.1564,0.002009051683800353
17345.1567,0.0032272999283369493
17345.157,0.0030014651702015677
17345.1573,0.0031448086922173193
17345.1575,0.0027870984254117132
17345.1578,0.003532857120721447
17345.158,0.004725918990615038
17345.1584,0.003078889089176731
17345.1586,0.003003409834559879
17345.1589,0.00441858146837462
17345.1592,0.003140517074646644
17345.1595,0.0070106723119818136
17345.1597,0.002929862144278588
17345.16,0.001817407354820389
17345.1603,0.003428294528656654
17345.1605,0.0025828332512799587
17345.1608,0.0032594870559391753
17345.1611,0.0039611546032121215
17345.1614,0.003552090015499305
17345.1616,0.0015981905865639838
17345.1617,0.002258496173276914
17345.1621,0.00589918936570748
17345.1624,0.0018755195497578126
17345.1626,0.0023491756748595933
17345.1629,0.0026670712077894987
17345.1631,0.0024838574255842314
17345.1634,0.004022849456853813
17345.1637,0.0029796396618172924
17345.1639,0.0024177302292562484
17345.1642,0.005553364753266741
17345.1645,0.002999487516132958
17345.1647,0.004413414263400111
17345.1651,0.0040434628565436575
17345.1652,0.0034278100502580424
17345.1655,0.0053195929928923245
17345.1658,0.0028537257663306358
17345.1661,0.003012018092095401
17345.1664,0.004353338214024249
17345.1667,0.002698191356456738
17345.1669,0.003209272822070762
17345.1671,0.0036978442763476744
17345.1674,0.002782977546221587
17345.1677,0.005295585314934569
17345.1679,0.0035904138153837113
17345.1682,0.0035661471613833732
17345.1684,0.0031514700891722785
17345.1688,0.003594532323098055
17345.1689,0.0021971522504060457
17345.1693,0.0027138396882288507
17345.1695,0.003922726840252449
17345.1699,0.002440352036595293
17345.17,0.0037944017979626983
17345.1704,0.0026519387107497958
17345.1706,0.0031919563249293574
17345.1709,0.0018798589064125146
17345.1712,0.0017790649565577164
17345.1715,0.0027370803470388536
17345.1717,0.001929357810021952
17345.172,0.0024493896619279653
17345.1722,0.0017501625548753236
17345.1724,0.0029313917457179247
17345.1727,0.0034879046804300096
17345.173,0.002596357390753329
17345.1733,0.002518624781963712
17345.1735,0.005022038460038227
17345.1739,0.001985540394134017
17345.1741,0.004217829021873858
17345.1744,0.0028087953847636617
17345.1746,0.0030710598856677706
17345.1749,0.001105417661516015
17345.1752,0.00234667009183739
17345.1754,0.002165167533179188
17345.1705,0.002557528539693477
17345.1707,0.002940282462838714
17345.171,0.0042255190353478874
17345.1713,0.0028282186615125734
17345.1716,0.003111853858122515
17345.1718,0.004096299990354404
17345.1721,0.004235699908786207
17345.1724,0.0024731613046032304
17345.1726,0.005084531121382891
17345.1729,0.005900046048184036
17345.1732,0.005874900020526759
17345.1733,0.003944604038931526
17345.1738,0.002650707158526846
17345.174,0.003821118247885892
17345.1742,0.004918751757098679
17345.1745,0.0023329832522267567
17345.1748,0.0035665023867088217
17345.1751,0.00381415500910327
17345.1753,0.005301888869069533
17345.1756,0.0037284226501675998
17345.1759,0.003211742826203481
17345.1761,0.0027902592161928416
17345.1764,0.0031343787696019305
17345.1767,0.0021023429551419804
17345.1769,0.0026217787693010347
17345.1772,0.0025799779217448512
17345.1775,0.003806819748049729
17345.1777,0.0022763906351292275
17345.178,0.0021183516975978264
17345.1783,0.0029976297484157295
17345.1785,0.002269230711161505
17345.1787,0.004531050873144354
17345.1791,0.004911281181069986
17345.1793,0.002452626651197818
17345.1796,0.005007071700897799
17345.1798,0.003641969108765617
17345.1802,0.0032857503123002304
17345.1805,0.003689464513005181
17345.1806,0.0031063740743990766
17345.1809,0.0030392494746505553
17345.1812,0.0035785793739075166
17345.1814,0.0025062279765216567
17345.1818,0.004627801523073919
17345.182,0.0019764215184596636
17345.1822,0.0018951333597951544
17345.1825,0.002381350378230079
17345.1828,0.003172230346904406
17345.183,0.0028728574511949156
17345.1833,0.002228783218326193
17345.1836,0.0028508675069364416
17345.1838,0.00320524471600868
17345.1841,0.003048365473857894
17345.1844,0.00219000630568235
17345.1847,0.0022153551337768013
17345.185,0.0013392365221666248
17345.1852,0.0021109426572796974
17345.1855,0.0011760081398527644
17345.1857,0.0038122030530378438
17345.186,0.00217126371782039
17345.1863,0.004185952908029785
17345.1866,0.0023753839141334664
17345.1868,0.003095512649238515
17345.1871,0.0021156922441818464
17345.1873,0.0025564923857674623
17345.1876,0.0028654200209378726
17345.1879,0.0031884693691755085
17345.1882,0.003050446556013213
17345.1884,0.002974950806486362
17345.1886,0.0031527057352021483
17345.189,0.0006502894606073867
17345.1892,0.004010369910479818
17345.1895,0.002492338743276148
17345.1897,0.0017203829107390952
17345.19,0.0031556459969663752
17345.1903,0.00331407049092554
17345.1906,0.0015180337848120528
17345.1908,0.0027854940335405583
17345.1911,0.0017918584999696463
17345.1913,0.004018793710740456
17345.1917,0.004245781270127528
17345.1919,0.002676873151303889
17345.1921,0.0027776318638447904
17345.1924,0.0025595853984476573
17345.1926,0.004312992088522735
17345.193,0.003709975139683798
17345.1932,0.0027784186083834018
17345.1935,0.002132241072860751
17345.1937,0.0027950993664083773
17345.194,0.00269721965482564
17345.1943,0.001261112944441105
17345.1945,0.002424710041863045
17345.1948,0.0032189016519337922
17345.1951,0.0019444018040540045
17345.1953,0.002774147308065264
17345.1956,0.001894716476361077
17345.1959,0.0025770778930359383
17345.1962,0.0020795553416685522
17345.1964,0.0022213437511869913
17345.1967,0.0019771275367524437
17345.1969,0.0017287613625855838
17345.1972,0.0006439972536976619
17345.1974,0.003567276221966841
17345.1978,0.0011129475788698745
17345.198,0.0046984825681441805
17345.1983,0.0008509072056009483
17345.1985,0.0015687569092576077
17345.1988,0.0032909348203360948
17345.1991,0.001629973235216558
17345.1993,0.0020909791925972617
17345.1996,0.0032564883577994425
17345.1999,0.003995569640417473
17345.2001,0.0027669999778285256
17345.2003,0.002424057274164198
17345.2007,0.0024305181132482393
17345.2009,0.0011951105080963188
17345.2012,0.002443374183396118
17345.2015,0.002547871130039974
17345.2017,0.0026819790374472234
17345.2021,0.0018295585440565696
17345.2023,0.0020151166785591585
17345.2029,0.0017151674145201752
17345.2032,0.0026556475553955556
17345.2035,0.0011353151279765447
17345.2038,0.0026308775610217436
17345.204,0.0031057295231115495
17345.2043,0.0019083706320512503
17345.2046,0.0010778982131543716
17345.2048,0.001014636812880086
17345.2051,0.0013127142464681898
17345.2054,0.002268184240278103
17345.2057,0.002218089371939463
17345.2059,0.002018203465983046
17345.2063,0.002120627400034389
17345.2065,0.0021036974075648108
17345.2068,0.0030929307450427647
17345.207,0.0034906677247368346
17345.2073,0.002426728602483259
17345.2075,0.00243241623457007
17345.2078,0.0026609983756063
17345.2081,0.004336243790644925
17345.2083,0.0015284485171179057
17345.2086,0.0023188924221091314
17345.2088,0.0033448891014087614
17345.2091,0.001754753099549219
17345.2094,0.0020235938673618167
17345.2097,0.001951300364644547
17345.2099,0.0029242269739829423
17345.2102,0.004223285363064747
17345.2105,0.003130139831883035
17345.2107,0.00659107922075551
17345.211,0.0026379777033536727
17345.2113,0.0042633335757581835
17345.2115,0.0026966647109265694
17345.2118,0.004532442014569003
17345.2121,0.003173895240310584
17345.2124,0.0018286783332731133
17345.2126,0.003220561263253662
17345.2129,-0.0013127694116329843
17345.2131,0.0023872430966354135
17345.2134,0.001822997781013297
17345.2136,0.002336705520123158
17345.214,0.0029893009513418745
17345.2142,0.002572845515976128
17345.2144,0.0030611271973624123
17345.2148,0.004912680972758146
17345.2149,0.0031202368066447234
17345.2153,0.005019457735247209
17345.2155,0.003311612315961336
17345.2158,0.0020362941980401725
17345.2161,0.002414671197484281
17345.2163,0.0032590681288145688
17345.2166,0.006750506461430303
17345.2169,0.0021517484939082257
17345.2172,0.0026628575031709344
17345.2175,0.002630051382747723
17345.2177,0.0010297988174214018
17345.2179,0.0031435138031984384
17345.2182,0.0014020397626253788
17345.2184,0.0032494733528656873
17345.2187,0.001646491223271868
17345.2191,0.0015155566207243362
17345.2193,0.0018809447141583276
17345.2195,0.0036356099960874093
17345.2198,0.0030462257361712195
17345.2201,0.0033279611107422317
17345.2203,0.002167879482470554
17345.2206,0.003356738529873788
17345.2209,0.0020816248013040533
17345.2212,0.0022150050911337064
17345.2214,0.001894458354986536
17345.2216,0.0025951871422533568
17345.2219,0.0028289955995383707
17345.2222,0.002282296462440483
17345.2225,0.0020609975717868255
17345.2227,0.001677600548838007
17345.223,0.0030361835080454217
17345.2233,0.0026530179885212437
17345.2235,0.0014253101257413424
17345.2238,0.001699028483868492
17345.2241,0.0015040633268938427
17345.2243,0.002544701883605502
17345.2246,0.0018660876140252237
17345.2249,0.0019065587607368054
17345.2251,0.0022922004301372525
17345.2254,0.00297949377368706
17345.2257,0.0012218630445742758
17345.226,0.0025346944454105944
17345.2262,0.0018865941227611065
17345.2265,0.0017206306153585353
17345.2268,0.002772781231474328
17345.2271,0.0022944411617653745
17345.2273,0.0007759515636484879
17345.2275,0.0007621652656330615
17345.2278,0.0018402254514196803
17345.228,0.002842923971194491
17345.2283,0.0022196140426517202
17345.2286,0.002067768765490486
17345.2289,0.0015450585716040306
17345.2292,0.0023020219974644873
17345.2293,0.002931549088257855
17345.2296,0.0037147607950347504
17345.2299,0.0019636534568640684
17345.2302,0.0039021952250970745
17345.2305,0.004179102386256954
17345.2308,0.0018374916533038296
17345.231,0.003007283753790365
17345.2313,0.0028972099138140917
17345.2315,0.0016031451348694986
17345.2318,0.003321932295543757
17345.2321,0.002715766025661347
17345.2324,0.0022749441743855152
17345.2326,0.0011324283947861738
17345.2329,0.0032748014072377747
17345.2331,0.0035444190430927486
17345.2334,0.0021413094517455772
17345.2337,0.0021918343814818987
17345.2339,0.0016413901369770189
17345.2342,0.0023007289562500784
17345.2345,0.0028910439651302893
17345.2347,0.003162559702788289
17345.2263,0.0016104174442825667
17345.2266,0.0025662707596563476
17345.2269,0.0021337137235024005
17345.2272,0.0027557548620108616
17345.2274,0.001386242229233701
17345.2277,0.0024666528213480236
17345.2279,0.0024649101948819624
17345.2282,0.0032459454390256037
17345.2284,0.0023318059692874153
17345.2287,0.0024143013994455597
17345.2289,0.0009694084340046095
17345.2293,0.0019036985950568873
17345.2295,0.002125203755475217
17345.2299,0.0010540660007480468
17345.2301,0.0014604250434711312
17345.2303,0.001858928205472322
17345.2306,0.0024660789059473246
17345.2309,0.000421436214241011
17345.2311,0.0011947431302270011
17345.2314,0.0021052267209599076
17345.2317,0.003337931553585671
17345.2319,0.0035572825433344665
17345.2321,0.00286014061118776
17345.2324,0.0024339598617001477
17345.2328,0.0019471750890194598
17345.233,0.0019405871540583962
17345.2333,0.0021017194714404107
17345.2336,0.0016887124335290902
17345.2338,0.0011748830152197704
17345.2341,0.0017416870886511056
17345.2343,0.0029221976281083367
17345.2347,0.0013328357413232392
